Iteration,Modularity,Community Count
0,0.04004421637151948,59
1,0.297740304917212,60
2,0.177968541730574,61
3,0.22809167444009365,60
4,0.08064702139661596,58
5,-0.37594742362788575,58
6,0.09826531548883041,59
7,-0.1347085179278011,58
8,0.1094669008764074,59
9,0.18140558792631725,58
10,0.019287783775987635,57
11,0.13525376949274356,60
12,-0.2649436194194679,58
13,-0.5101028446442514,57
14,0.1499567329153829,57
15,0.18409732622753736,59
16,0.19899956144513797,59
17,0.019169319047495,59
18,0.17181308305631676,58
19,0.3461861025967153,60
20,-0.21229193161065327,60
21,-0.15160190202577453,60
22,0.030938122969538576,60
23,0.2138398184273029,58
24,0.28908296532120625,60
25,-0.3535050261215157,57
26,-0.26275947502115976,59
27,-0.540468257336842,56
28,0.18949257084935853,61
29,-0.16320987634954062,58
30,-0.146725234791586,60
31,0.2786470857284466,58
32,-0.13295822117758097,59
33,0.1899483854669596,57
34,-0.06814938480716373,60
35,0.19092356200686922,60
36,0.2536729949844672,61
37,-0.05591378278275439,58
38,0.11956464604543167,58
39,0.2823563654393613,59
40,0.06692629532551611,58
41,0.22823289067274266,58
42,0.04039490334927363,59
43,0.050174127460214185,59
44,0.2585057282795637,59
45,0.10711015886041428,58
46,0.14460777583648593,60
47,0.18688713135697635,60
48,-0.20957979540912924,59
49,0.21603965351812357,61
50,0.028634729308094936,59
51,-0.279896064853115,58
52,0.06250779631285173,59
53,-0.14319404444074046,59
54,-0.13386671227426916,58
55,-0.18945334411807804,59
56,-0.14549429996366744,56
57,-0.11325149591139218,59
58,0.11397719044028731,58
59,0.11539484450915972,59
60,0.117016477580751,60
61,0.27883302043476577,59
62,-0.22267917005676793,59
63,0.13034022913118223,59
64,-0.3866461223203414,56
65,0.10641349211268614,58
66,0.3563615166936877,60
67,-0.12086148178193239,58
68,0.01852050891192398,59
69,0.08677188322045705,58
70,-0.1180018530707832,58
71,0.23952548207691182,61
72,-0.038811712474325834,60
73,0.3315262885784922,61
74,-0.12889746995427873,58
75,0.2620125980570153,60
76,0.0803685116044499,60
77,0.06971296231645233,58
78,0.2572685171746362,60
79,0.07039629197554456,61
80,0.10124497799773308,58
81,-0.02681460897616338,60
82,0.32143168154796403,61
83,-0.10822027535594506,58
84,0.1007664118759765,58
85,-0.1950792419200188,60
86,-0.08087139829958513,58
87,-0.12715658761956786,59
88,-0.003958761721919417,59
89,-0.04554694223706332,59
90,-0.054911932065568055,58
91,-0.4366790335479388,57
92,-0.33816423604798923,59
93,-0.013998451328638698,59
94,0.1123830160806025,58
95,-0.0006276277006543054,57
96,-0.15155718355207717,57
97,-0.4263294527639521,58
98,0.08288686775335617,57
99,0.18626499539869873,58
