Iteration,Modularity,Community Count
0,-0.9300951814396136,1
1,-0.9300951814396136,1
2,-0.5824390243902401,2
3,-0.9300951814396136,1
4,-0.9300951814396136,1
5,-0.922801903628788,2
6,-0.9300951814396136,1
7,-0.9300951814396136,1
8,-0.9300951814396136,1
9,-0.9300951814396136,1
10,-0.9300951814396136,1
11,-0.9300951814396136,1
12,-0.9300951814396136,1
13,-0.9300951814396136,1
14,-0.9300951814396136,1
15,-0.9300951814396136,1
16,-0.4941954193932137,2
17,-0.9300951814396136,1
18,-0.9300951814396136,1
19,-0.9300951814396136,1
20,-0.9300951814396136,1
21,-0.9300951814396136,1
22,-0.9300951814396136,1
23,-0.9300951814396136,1
24,-0.9300951814396136,1
25,-0.9300951814396136,1
26,-0.4876442593694183,2
27,-0.9300951814396136,1
28,-0.9300951814396136,1
29,-0.9300951814396136,1
30,-0.9300951814396136,1
31,-0.9300951814396136,1
32,-0.9107317073170681,2
33,-0.9300951814396136,1
34,-0.9300951814396136,1
35,-0.9300951814396136,1
36,-0.9300951814396136,1
37,-0.9300951814396136,1
38,-0.9300951814396136,1
39,-0.9300951814396136,1
40,-0.9300951814396136,1
41,-0.9300951814396136,1
42,-0.9300951814396136,1
43,-0.9300951814396136,1
44,-0.8204640095181377,2
45,-0.9300951814396136,1
46,-0.7689485425341989,2
47,-0.9300951814396136,1
48,-0.9300951814396136,1
49,-0.9300951814396136,1
50,-0.9300951814396136,1
51,-0.7689485425341989,2
52,-0.9300951814396136,1
53,-0.9300951814396136,1
54,-0.9001442593694173,2
55,-0.9300951814396136,1
56,-0.9300951814396136,1
57,-0.9300951814396136,1
58,-0.9300951814396136,1
59,-0.9300951814396136,1
60,-0.9300951814396136,1
61,-0.9300951814396136,1
62,-0.9300951814396136,1
63,-0.9300951814396136,1
64,-0.9300951814396136,1
65,-0.9300951814396136,1
66,-0.9300951814396136,1
67,-0.7689485425341989,2
68,-0.7689485425341989,2
69,-0.9300951814396136,1
70,-0.9300951814396136,1
71,-0.7689485425341989,2
72,-0.9300951814396136,1
73,-0.9300951814396136,1
74,-0.9300951814396136,1
75,-0.9300951814396136,1
76,-0.9300951814396136,1
77,-0.9300951814396136,1
78,-0.9300951814396136,1
79,-0.9300951814396136,1
80,-0.9300951814396136,1
81,-0.9300951814396136,1
82,-0.9300951814396136,1
83,-0.9300951814396136,1
84,-0.9300951814396136,1
85,-0.9300951814396136,1
86,-0.5824390243902401,2
87,-0.4900832837596624,2
88,-0.9300951814396136,1
89,-0.7689485425341989,2
90,-0.7689485425341989,2
91,-0.9300951814396136,1
92,-0.9300951814396136,1
93,-0.5824390243902401,2
94,-0.9300951814396136,1
95,-0.9300951814396136,1
96,-0.9300951814396136,1
97,-0.9300951814396136,1
98,-0.9300951814396136,1
99,-0.9300951814396136,1
