Iteration,Modularity,Community Count
0,-0.8648331095805784,7
1,-0.8939237606930173,6
2,-0.8939237606930173,6
3,-0.8933365773934643,5
4,-0.8939237606930173,6
5,-0.8933365773934643,5
6,-0.8939237606930173,6
7,-0.8939237606930173,6
8,-0.8933365773934643,5
9,-0.8939237606930173,6
10,-0.8939237606930173,6
11,-0.8939237606930173,6
12,-0.8939237606930173,6
13,-0.8939237606930173,6
14,-0.8939237606930173,6
15,-0.8642459262810251,6
16,-0.8966815801857001,4
17,-0.8933365773934643,5
18,-0.8939237606930173,6
19,-0.8939237606930173,6
20,-0.8939237606930173,6
21,-0.8939237606930173,6
22,-0.8933365773934643,5
23,-0.8933365773934643,5
24,-0.8939237606930173,6
25,-0.8939237606930173,6
26,-0.8986131748312349,5
27,-0.8939237606930173,6
28,-0.8972687634852531,5
29,-0.8648331095805784,7
30,-0.8986131748312349,5
31,-0.8939237606930173,6
32,-0.8933365773934643,5
33,-0.8966815801857001,4
34,-0.8939237606930173,6
35,-0.8939237606930173,6
36,-0.8939237606930173,6
37,-0.8939237606930173,6
38,-0.8939237606930173,6
39,-0.8939237606930173,6
40,-0.8939237606930173,6
41,-0.8939237606930173,6
42,-0.8939237606930173,6
43,-0.8939237606930173,6
44,-0.8939237606930173,6
45,-0.8939237606930173,6
46,-0.8939237606930173,6
47,-0.8933365773934643,5
48,-0.8972687634852531,5
49,-0.8972687634852531,5
50,-0.8933365773934643,5
51,-0.8939237606930173,6
52,-0.8939237606930173,6
53,-0.8939237606930173,6
54,-0.8939237606930173,6
55,-0.8972687634852531,5
56,-0.8939237606930173,6
57,-0.8939237606930173,6
58,-0.8939237606930173,6
59,-0.8933365773934643,5
60,-0.8939237606930173,6
61,-0.8939237606930173,6
62,-0.8939237606930173,6
63,-0.8939237606930173,6
64,-0.8939237606930173,6
65,-0.8933365773934643,5
66,-0.8933365773934643,5
67,-0.8933365773934643,5
68,-0.8939237606930173,6
69,-0.8939237606930173,6
70,-0.8939237606930173,6
71,-0.8972687634852531,5
72,-0.8939237606930173,6
73,-0.8939237606930173,6
74,-0.8939237606930173,6
75,-0.8939237606930173,6
76,-0.8939237606930173,6
77,-0.8939237606930173,6
78,-0.8939237606930173,6
79,-0.8939237606930173,6
80,-0.8939237606930173,6
81,-0.8939237606930173,6
82,-0.8972687634852531,5
83,-0.8939237606930173,6
84,-0.8939237606930173,6
85,-0.8939237606930173,6
86,-0.8939237606930173,6
87,-0.8939237606930173,6
88,-0.8986131748312349,5
89,-0.8933365773934643,5
90,-0.8939237606930173,6
91,-0.8966815801857001,4
92,-0.8939237606930173,6
93,-0.8939237606930173,6
94,-0.8933365773934643,5
95,-0.8986131748312349,5
96,-0.8939237606930173,6
97,-0.8939237606930173,6
98,-0.8986131748312349,5
99,-0.8939237606930173,6
