Iteration,Modularity,Community Count
0,-0.9729249922674736,3
1,-0.9729249922674736,3
2,-0.9729249922674736,3
3,-0.4385409813366082,5
4,-0.9329220050375683,4
5,-0.9019638615704417,4
6,-0.8966815801857001,4
7,-0.9729249922674736,3
8,-0.8902485100559493,4
9,-0.9729249922674736,3
10,-0.9729249922674736,3
11,-0.9019638615704417,4
12,-0.9729249922674736,3
13,-0.9019638615704417,4
14,-0.9019638615704417,4
15,-0.9019638615704417,4
16,-0.8966815801857001,4
17,-0.9729249922674736,3
18,-0.9196162009540721,4
19,-0.5489701240695275,4
20,-0.8966815801857001,4
21,-0.5876719084762614,4
22,-0.9729249922674736,3
23,-0.9729249922674736,3
24,-0.5102324465902476,4
25,-0.8966815801857001,4
26,-0.8966815801857001,4
27,-0.9729249922674736,3
28,-0.9729249922674736,3
29,-0.8966815801857001,4
30,-0.9729249922674736,3
31,-0.5070172272538449,4
32,-0.9729249922674736,3
33,-0.9019638615704417,4
34,-0.900660237806891,4
35,-0.9729249922674736,3
36,-0.8966815801857001,4
37,-0.9019638615704417,4
38,-0.9729249922674736,3
39,-0.9729249922674736,3
40,-0.9729249922674736,3
41,-0.9729249922674736,3
42,-0.9019638615704417,4
43,-0.8966815801857001,4
44,-0.9729249922674736,3
45,-0.9729249922674736,3
46,-0.9729249922674736,3
47,-0.9729249922674736,3
48,-0.491860982656563,4
49,-0.7207743683043053,4
50,-0.5131386276246988,4
51,-0.9729249922674736,3
52,-0.9729249922674736,3
53,-0.9729249922674736,3
54,-0.9729249922674736,3
55,-0.6114734364159404,4
56,-0.9019638615704417,4
57,-0.9019638615704417,4
58,-0.8966815801857001,4
59,-0.9729249922674736,3
60,-0.9633996444691231,4
61,-0.9729249922674736,3
62,-0.9019638615704417,4
63,-0.9404860753561943,4
64,-0.9729249922674736,3
65,-0.9729249922674736,3
66,-0.9729249922674736,3
67,-0.5010491881929198,5
68,-0.9729249922674736,3
69,-0.9729249922674736,3
70,-0.8966815801857001,4
71,-0.9729249922674736,3
72,-0.9019638615704417,4
73,-0.9019638615704417,4
74,-0.9729249922674736,3
75,-0.9729249922674736,3
76,-0.9729249922674736,3
77,-0.9729249922674736,3
78,-0.9019638615704417,4
79,-0.4396412987376805,4
80,-0.8988994773453105,4
81,-0.9729249922674736,3
82,-0.9019638615704417,4
83,-0.8966815801857001,4
84,-0.8966815801857001,4
85,-0.8191603326182815,4
86,-0.9729249922674736,3
87,-0.9019638615704417,4
88,-0.9729249922674736,3
89,-0.969725877447478,4
90,-0.9729249922674736,3
91,-0.9729249922674736,3
92,-0.8145534935985593,4
93,-0.9729249922674736,3
94,-0.8988994773453105,4
95,-0.9729249922674736,3
96,-0.9729249922674736,3
97,-0.8966815801857001,4
98,-0.9019638615704417,4
99,-0.5262388622927702,4
